Campus,longitud,latitud,Nombre
AGS,-103.425108,25.563645,Aguascalientes
CCM,-103.453782,20.73174,Campus Ciudad de México
CCU,-100.415975,25.733837,Prepra Cumbres
CDJ,-103.453782,20.73174,Ciudad Juárez
CEDES,-100.290328,25.65142,CEDES
CEM,-99.22879,19.594757,Campus Estado de México
CHI,-103.453782,20.73174,Chihuahua
CHS,-103.453781,20.73174,Chiapas
CMR,-101.164072,19.656473,"Contry Tesoro, Monterrey"
COB,-103.453782,20.73174,Ciudad Obregón
CSC,-100.430317,25.662025,Prepa Santa Catarina
CSF,-99.258687,19.359747,Campus Santa Fe
CUL,-100.2768498,25.6484251,Tecmilenio Culiacán
CVA,-99.220633,18.807476,Cuernavaca
EGA,-100.290328,25.65142,EGADE/EGAP
EGL,-100.2756714,25.6175659,Prepa Garza Lagüera
EGS,-100.3569746,25.6698047,Prepa Garza Sada
FW,-100.282816,25.743988,Firewall San Nicolás
GDA,-103.453779,20.73174,"Zapopan, Jalisco"
GDL,-103.4555127,20.7353206,Guadalajara
HER,-103.454912,20.735007,Hermosillo
HGO,-98.765132,20.096521,Hidalgo
IRA,-101.394252,20.686059,Irapuato
LAG,-103.425108,25.563645,Laguna
LAS,-100.276685,25.654029,Tecmilenio Las Torres
LEO,-101.715729,21.166253,León
MRL,-101.163952,19.656463,Campus Morelia
MTY,-100.290328,25.65142,Monterrey
Panorama,-100.290328,25.65142,Panorama Server
PROPOSITO,-100.2766848,25.6540286,Tecmilenio Proposito
PUE,-98.244838,19.020044,Puebla
QRO,-100.403246,20.613258,Querétaro
SAL,-100.975855,25.448152,Saltillo
SAN,-100.2766848,25.654028,Universidad Tecmilenio San Nicolás
SIN,-103.453779,20.73174,Sinaloa
SLP,-101.038102,22.127502,San Luis Potosí
TAM,-103.454912,20.735008,Tampico
TOL,-99.705974,19.268825,Toluca
VAL,-100.249513,25.571295,Prepa Valle Alto
VER,-103.453779,20.73174,Veracruz
ZAC,-103.453782,20.73174,Zacatecas
