index,device_name,dstlat,dstlong,name
0,CP-AGS-1,25.563645,-103.425108,Aguascalientes
1,CP-AGS-2,25.563645,-103.425108,Aguascalientes
2,CP-ALESTRA-DRP,25.7269361,-100.3023082,Alestra
3,CP-CCM-1,20.73174,-103.453782,Campus Ciudad de México
4,CP-CCM-2,20.73174,-103.453782,Campus Ciudad de México
5,CP-CCU-1,25.733837,-100.415975,Prepa Cumbres
6,CP-CCU-1,25.733837,-100.415975,Prepa Cumbres
7,CP-CCU-2,25.733837,-100.415975,Prepa Cumbres
8,CP-CCU-2,25.733837,-100.415975,Prepa Cumbres
9,CP-CDJ-1,20.73174,-103.453782,Ciudad Juárez
10,CP-CDJ-2,20.73174,-103.453782,Ciudad Juárez
11,CP-CEDES-P1,25.65142,-100.290328,CEDES
12,CP-CEDES-P2,25.65142,-100.290328,CEDES
13,CP-CEM-1,19.594757,-99.22879,Campus Estado de México
14,CP-CEM-2,19.594757,-99.22879,Campus Estado de México
15,CP-CHI-1,20.73174,-103.453782,Chihuahua
16,CP-CHI-2,20.73174,-103.453782,Chihuahua
17,CP-CHS-1,20.73174,-103.453781,Chiapas
18,CP-CHS-2,20.73174,-103.453781,Chiapas
19,CP-COB-1,20.73174,-103.453782,Ciudad Obregón
20,CP-COB-2,20.73174,-103.453782,Ciudad Obregón
21,CP-CSC-1,25.662025,-100.430317,Prepa Santa Catarina
22,CP-CSC-2,25.662025,-100.430317,Prepa Santa Catarina
23,CP-CSF-1,19.359747,-99.258687,Campus Santa Fe
24,CP-CSF-2,19.359747,-99.258687,Campus Santa Fe
25,CP-CVA-1,18.807476,-99.220633,Cuernavaca
26,CP-CVA-2,18.807476,-99.220633,Cuernavaca
27,CP-EGA-1,25.65142,-100.290328,EGADE/EGAP
28,CP-EGA-2,25.65142,-100.290328,EGADE/EGAP
29,CP-EGL-1,25.6175659,-100.2756714,Prepa Garza Lagüera
30,CP-EGL-2,25.6175659,-100.2756714,Prepa Garza Lagüera
31,CP-EGS-1,25.6698047,-100.3569746,Prepa Garza Sada
32,CP-EGS-2,25.6698047,-100.3569746,Prepa Garza Sada
33,CP-GDL-1,20.7353206,-103.4555127,Guadalajara
34,CP-GDL-2,20.7353206,-103.4555127,Guadalajara
35,CP-HER-1,20.735007,-103.454912,Hermosillo
36,CP-HER-2,20.735007,-103.454912,Hermosillo
