Device,Campus,latitud,longitud,Nombre
CP-AGS-1,AGS,25.563645,-103.425108,Aguascalientes
CP-AGS-2,AGS,25.563645,-103.425108,Aguascalientes
CP-ALESTRA-DRP,ALT,25.7269361,-100.3023082,Alestra
CP-CCM-1,CCM,20.73174,-103.453782,Campus Ciudad de México
CP-CCM-2,CCM,20.73174,-103.453782,Campus Ciudad de México
CP-CCU-1,CCU,25.733837,-100.415975,Prepa Cumbres
CP-CCU-1,CCU,25.733837,-100.415975,Prepa Cumbres
CP-CCU-2,CCU,25.733837,-100.415975,Prepa Cumbres
CP-CCU-2,CCU,25.733837,-100.415975,Prepa Cumbres
CP-CDJ-1,CDJ,20.73174,-103.453782,Ciudad Juárez
CP-CDJ-2,CDJ,20.73174,-103.453782,Ciudad Juárez
CP-CEDES-P1,CEDES,25.65142,-100.290328,CEDES
CP-CEDES-P2,CEDES,25.65142,-100.290328,CEDES
CP-CEM-1,CEM,19.594757,-99.22879,Campus Estado de México
CP-CEM-2,CEM,19.594757,-99.22879,Campus Estado de México
CP-CHI-1,CHI,20.73174,-103.453782,Chihuahua
CP-CHI-2,CHI,20.73174,-103.453782,Chihuahua
CP-CHS-1,CHS,20.73174,-103.453781,Chiapas
CP-CHS-2,CHS,20.73174,-103.453781,Chiapas
CP-COB-1,COB,20.73174,-103.453782,Ciudad Obregón
CP-COB-2,COB,20.73174,-103.453782,Ciudad Obregón
CP-CSC-1,CSC,25.662025,-100.430317,Prepa Santa Catarina
CP-CSC-2,CSC,25.662025,-100.430317,Prepa Santa Catarina
CP-CSF-1,CSF,19.359747,-99.258687,Campus Santa Fe
CP-CSF-2,CSF,19.359747,-99.258687,Campus Santa Fe
CP-CVA-1,CVA,18.807476,-99.220633,Cuernavaca
CP-CVA-2,CVA,18.807476,-99.220633,Cuernavaca
CP-EGA-1,EGA,25.65142,-100.290328,EGADE/EGAP
CP-EGA-2,EGA,25.65142,-100.290328,EGADE/EGAP
CP-EGL-1,EGL,25.6175659,-100.2756714,Prepa Garza Lagüera
CP-EGL-2,EGL,25.6175659,-100.2756714,Prepa Garza Lagüera
CP-EGS-1,EGS,25.6698047,-100.3569746,Prepa Garza Sada
CP-EGS-2,EGS,25.6698047,-100.3569746,Prepa Garza Sada
CP-GDL-1,GDL,20.7353206,-103.4555127,Guadalajara
CP-GDL-2,GDL,20.7353206,-103.4555127,Guadalajara
CP-HER-1,HER,20.735007,-103.454912,Hermosillo
CP-HER-2,HER,20.735007,-103.454912,Hermosillo
CP-HGO-1,HGO,20.096521,-98.765132,Hidalgo
CP-HGO-2,HGO,20.096521,-98.765132,Hidalgo
CP-IRA-1,IRA,20.686059,-101.394252,Irapuato
CP-IRA-2,IRA,20.686059,-101.394252,Irapuato
CP-LAG-1,LAG,25.563645,-103.425108,Laguna
CP-LAG-2,LAG,25.563645,-103.425108,Laguna
CP-LEO-1,LEO,21.166253,-101.715729,León
CP-LEO-2,LEO,21.166253,-101.715729,León
CP-MRL-1,MRL,19.656463,-101.163952,Campus Morelia
CP-MRL-2,MRL,19.656463,-101.163952,Campus Morelia
CP-MTY-1,MTY,25.65142,-100.290328,Monterrey
CP-MTY-2,MTY,25.65142,-100.290328,Monterrey
CP-PUE-1,PUE,19.020044,-98.244838,Puebla
CP-PUE-2,PUE,19.020044,-98.244838,Puebla
CP-QRO-1,QRO,20.613258,-100.403246,Querétaro
CP-QRO-2,QRO,20.613258,-100.403246,Querétaro
CP-SAL-1,SAL,25.448152,-100.975855,Saltillo
CP-SAL-2,SAL,25.448152,-100.975855,Saltillo
CP-SIN-1,SIN,20.73174,-103.453779,Sinaloa
CP-SIN-2,SIN,20.73174,-103.453779,Sinaloa
CP-SLP-1,SLP,22.127502,-101.038102,San Luis Potosí
CP-SLP-2,SLP,23.127502,-100.038102,San Luis Potosí
CP-TAM-1,TAM,20.735008,-103.454912,Tampico
CP-TAM-2,TAM,20.735008,-103.454912,Tampico
CP-TOL-1,TOL,19.268825,-99.705974,Toluca
CP-TOL-2,TOL,19.268825,-99.705974,Toluca
CP-VAL-1,VAL,25.571295,-100.249513,Prepa Valle Alto
CP-VAL-2,VAL,25.571295,-100.249513,Prepa Valle Alto
CP-VER-1,VER,20.73174,-103.453779,Veracruz
CP-VER-2,VER,20.73174,-103.453779,Veracruz
CP-ZAC-1,ZAC,20.73174,-103.453782,Zacatecas
CP-ZAC-2,ZAC,20.73174,-103.453782,Zacatecas
DC-ALESTRA-1,ALT,25.7269361,-100.3023082,Alestra
DC-CEDES-1,CEDES,25.65142,-100.290328,CEDES
DC-CEDES-2,CEDES,25.65142,-100.290328,CEDES
ST-Guadalajara,GDL,20.7353206,-103.4555127,Guadalajara
ST-PROPOSITO-1,PROPOSITO,25.6540286,-100.2766848,Sorteos Proposito
ST-PROPOSITO-2,PROPOSITO,25.6540286,-100.2766848,Sorteos Proposito
ST-Villahermosa,VHR,25.646193,-100.2775,Villa Hermosa
UTM-SAO,SAO,19.362524,-99.2234396,Alvaro Obregon
UTM-CAN,CAN,21.1322033,-86.8261448,Cancun
UTM-CDJ,CDJ,20.73174,-103.453782,Ciudad Juárez (UTM)
UTM-CHI,CHI,21.73174,-102.453782,Chihuahua
UTM-COB,COB,20.73174,-103.453782,Ciudad Obregón
UTM-CUT,CUT,19.68506,-99.2131938,Cuautitlan
UTM-CUL,CUL,25.6484251,-100.2768498,Tecmilenio Culiacán
UTM-CUM,CUM,25.733837,-100.415975,Campus Cumbres
UTM-CVA,CVA,18.807476,-99.220633,Cuernavaca
UTM-DGO,DGO,23.9776359,-104.6691643,Durango
UTM-GDA,GDA,20.73174,-103.453779,"Zapopan, Jalisco"
UTM-HER,HER,20.735007,-103.454912,Hermosillo
UTM-LAG,LAG,25.563645,-103.425108,Laguna
UTM-LAS-TORRES,LAS,25.654029,-100.276685,Tecmilenio Las Torres
UTM-LMO,LMO,40.6767255,-73.9800953,Los Mochis
UTM-PROPOSITO,PROPOSITO,25.6540286,-100.2766848,Tecmilenio Proposito
UTM-PUE,PUE,19.020044,-98.244838,Puebla
UTM-QRO,QRO,20.613258,-100.403246,Querétaro
UTM-SAN-NICOLAS,SAN,25.743988,-100.282816,Firewall San Nicolás
UTM-SLP,SLP,24.127502,-99.038102,San Luis Potosí
UTM-TOL,TOL,19.268825,-99.705974,Toluca
UTM-VER,VER,20.73174,-103.453779,Veracruz
UTM-VHR,VHR,25.646193,-100.2775,Villa Hermosa
TS-CESI,CES,25.6970893,-100.4614663,Tec Salud CESI
TS-CITES,CIT,25.669445,-100.351813,Tec Salud CITES
UTM-FER,FER,19.4992934,-99.1755968,Ferreria
UTM-GPE,GPE,25.656672,-100.207275,Guadalupe
TS-SANJOSE-DC1,SJO,25.6680567,-100.3513618,Hospital San Jose
TS-SANJOSE-DC2,SJO,25.6680567,-100.3513618,Hospital San Jose
TS-SANJOSE-P1,SJO,25.6680567,-100.3513618,Hospital San Jose
TS-SANJOSE-P2,SJO,25.6680567,-100.3513618,Hospital San Jose
TS-ZAMBRANO-DC1,HZH,25.647037,-100.334027,Hospital Zambrano
TS-ZAMBRANO-DC2,HZH,25.647037,-100.334027,Hospital Zambrano
TS-ZAMBRANO-P1,HZH,25.647037,-100.334027,Hospital Zambrano
TS-ZAMBRANO-P2,HZH,25.647037,-100.334027,Hospital Zambrano
UTM-FW-IPSEC,ALT,25.7269361,-100.3023082,Alestra
UTM-FW-MPLS,ALT,25.7269361,-100.3023082,Alestra
UTM-NLR,NLR,27.4212731,-99.5163687,Nuevo Laredo
PA-NUEVOSUR-1,PNS,25.6531861,-100.2753983,Nuevo Sur
PA-NUEVOSUR-2,PNS,25.6531861,-100.2753983,Nuevo Sur
UTM-RYN,RYN,26.0409804,-98.4198179,Reynosa
UTM-FW-SAP,USP,25.7269361,-100.3023082,Alestra
prod451azap01,AZR,26.0409804,-98.4198179,Azure South Central US
prod451azap02,AZR,26.0409804,-98.4198179,Azure South Central US
prod454azap01,AZR,26.0409804,-98.4198179,Azure South Central US
prod454azap02,AZR,26.0409804,-98.4198179,Azure South Central US
prod452azap01,AZR,26.0409804,-98.4198179,Azure South Central US
prod452azap02,AZR,26.0409804,-98.4198179,Azure South Central US
UTM-ZAP,ZAP,20.7356396,-103.3720598,Zapopan
